"category","room_count","bathroom_count","size","type","price","city","region"
"Appartements",-0.719845288639747,1,-1.03083568147301,"À Vendre",0.0498556463009223,"Ariana","Ennasr"
"Appartements",-0.719845288639747,1,-0.739810863629293,"À Vendre",0.166986994006733,"Ariana","Ariana"
"Appartements",-1.74209720663536,1,-0.376029841324641,"À Louer",-0.787867752491033,"Ariana","Autres villes"
"Appartements",0.302406629355864,1,0.53342271443699,"À Louer",-0.787867752491033,"Ariana","Ennasr"
"Maisons et Villas",-0.719845288639747,1,-0.194139330172315,"À Louer",-0.791943923391195,"Ariana","Raoued"
"Appartements",0.302406629355864,1,0.369721254399896,"À Vendre",0.260692072171381,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",1.83578450634928,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Appartements",1.32465854735147,1,0.260586947708501,"À Vendre",1.12746404519438,"Ariana","Ennasr"
"Appartements",1.32465854735147,1,-0.085005023480919,"À Vendre",0.377823419877191,"Ariana","Ennasr"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.278112127275347,"Ariana","Autres villes"
"Appartements",-0.719845288639747,1,-1.01264663035778,"À Louer",-0.793068384329171,"Ariana","Autres villes"
"Appartements",0.302406629355864,1,0.53342271443699,"À Louer",-0.787118111865716,"Ariana","La Soukra"
"Appartements",-0.719845288639747,1,-0.412407943555106,"À Louer",-0.793068384329171,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",-1.74209720663536,1,-0.557920352476967,"À Louer",-0.785056600146094,"Ariana","Ariana Ville"
"Maisons et Villas",0.302406629355864,1,-0.0122488190199886,"À Louer",-0.787867752491033,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",-1.74209720663536,1,0.351532203284664,"À Vendre",-0.474892791421108,"Ariana","Chotrana"
"Maisons et Villas",1.83578450634928,1,1.83393986917612,"À Vendre",1.08061150611205,"Ariana","Sidi Thabet"
"Magasins, Commerces et Locaux industriels",-1.74209720663536,1,-1.83115393054325,"À Vendre",-0.746637518098588,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",-1.74209720663536,1,1.83393986917612,"À Vendre",-0.38118771325646,"Ariana","Raoued"
"Appartements",-0.719845288639747,1,-1.13996998816441,"À Louer",-0.790210379445149,"Ariana","Ariana Ville"
"Maisons et Villas",0.302406629355864,1,-0.103194074596152,"À Vendre",-0.137554510028374,"Ariana","Raoued"
"Appartements",1.32465854735147,1,1.80665629250327,"À Louer",-0.785056600146094,"Ariana","La Soukra"
"Appartements",-0.719845288639747,1,-0.557920352476967,"À Louer",-0.791194282765878,"Ariana","Ghazela"
"Maisons et Villas",1.83578450634928,1,-0.0122488190199886,"À Vendre",0.190413263547895,"Ariana","Ariana"
"Appartements",-1.74209720663536,1,-1.21272619262534,"À Vendre",-0.0672757014048881,"Ariana","Autres villes"
